@timestamp,data.win.system.eventID,agent.name,data.win.eventdata.authenticationPackageName,data.win.system.processID,data.win.system.systemTime,data.win.eventdata.logonType,data.win.eventdata.logonProcessName,data.win.eventdata.targetUserName
2025-04-20 14:48:05.565,4624,CP-AKT-002912,Kerberos,880,2025-04-20T09:49:21.1987991Z,3,Kerberos,ADMANAGER$
2025-04-20 14:48:05.533,4624,CP-AKT-002912,NTLM,880,2025-04-20T09:49:21.1928117Z,3,NtLmSsp,ADMANAGER$
2025-04-20 14:48:05.500,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:49:20.8726733Z,5,Advapi,SYSTEM
2025-04-20 14:48:05.467,4624,CP-AKT-002912,Kerberos,880,2025-04-20T09:49:18.9400529Z,3,Kerberos,Administrator
2025-04-20 14:48:05.436,4624,CP-AKT-002912,Kerberos,880,2025-04-20T09:49:18.8889727Z,3,Kerberos,Administrator
2025-04-20 14:48:05.403,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:48:42.4651868Z,5,Advapi,SYSTEM
2025-04-20 14:48:05.372,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:48:42.1717938Z,5,Advapi,SYSTEM
2025-04-20 14:48:05.314,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:48:38.5147957Z,5,Advapi,SYSTEM
2025-04-20 14:47:20.500,4624,LAB3-10,Negotiate,1032,2025-04-20T09:48:36.3111583Z,5,Advapi,SYSTEM
2025-04-20 14:46:12.760,4624,LAB3-09,Negotiate,1072,2025-04-20T09:47:28.6183480Z,5,Advapi,SYSTEM
2025-04-20 14:45:32.746,4624,LAB3-10,Negotiate,1032,2025-04-20T09:46:48.5462540Z,5,Advapi,SYSTEM
2025-04-20 14:43:50.555,4624,LAB3-10,Kerberos,1032,2025-04-20T09:45:06.4176092Z,3,Kerberos,ADMANAGER$
2025-04-20 14:43:50.540,4624,LAB3-10,NTLM,1032,2025-04-20T09:45:06.4054357Z,3,NtLmSsp,ADMANAGER$
2025-04-20 14:43:50.522,4624,LAB3-10,Kerberos,1032,2025-04-20T09:45:06.3667833Z,3,Kerberos,Administrator
2025-04-20 14:43:50.517,4624,LAB3-10,Kerberos,1032,2025-04-20T09:45:06.3362351Z,3,Kerberos,Administrator
2025-04-20 14:43:16.573,4624,LAB3-09,Negotiate,1072,2025-04-20T09:44:32.4447987Z,5,Advapi,SYSTEM
2025-04-20 14:42:52.608,4624,LAB3-09,Negotiate,1072,2025-04-20T09:44:08.4853270Z,5,Advapi,SYSTEM
2025-04-20 14:41:04.758,4624,LAB3-10,Negotiate,1032,2025-04-20T09:42:21.0938778Z,5,Advapi,SYSTEM
2025-04-20 14:41:04.752,4624,LAB3-10,Negotiate,1032,2025-04-20T09:42:20.5610696Z,5,Advapi,SYSTEM
2025-04-20 14:40:58.668,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:40:58.3309254Z,5,Advapi,SYSTEM
2025-04-20 14:40:52.614,4624,LAB3-10,Negotiate,1032,2025-04-20T09:42:08.4308426Z,5,Advapi,SYSTEM
2025-04-20 14:38:33.206,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:38:32.8663300Z,2,User32,Project
2025-04-20 14:38:33.204,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:38:32.8663216Z,2,User32,Project
2025-04-20 14:38:27.989,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:38:27.6515860Z,5,Advapi,SYSTEM
2025-04-20 14:38:27.028,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:38:23.6827597Z,5,Advapi,SYSTEM
2025-04-20 14:38:12.556,4624,LAB3-09,Negotiate,1072,2025-04-20T09:39:28.4236889Z,5,Advapi,SYSTEM
2025-04-20 14:37:32.548,4624,LAB3-10,Negotiate,1032,2025-04-20T09:38:48.3765569Z,5,Advapi,SYSTEM
2025-04-20 14:36:43.839,4624,LAB3-09,Negotiate,1072,2025-04-20T09:37:59.7217956Z,5,Advapi,SYSTEM
2025-04-20 14:35:49.855,4624,LAB3-11,Negotiate,892,2025-04-20T09:37:05.1320724Z,5,Advapi,SYSTEM
2025-04-20 14:35:29.000,4624,LAB3-11,Negotiate,892,2025-04-20T09:36:44.2869694Z,5,Advapi,SYSTEM
2025-04-20 14:34:52.497,4624,LAB3-09,Negotiate,1072,2025-04-20T09:36:08.3628357Z,5,Advapi,SYSTEM
2025-04-20 14:32:32.919,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:32:32.5875686Z,5,Advapi,SYSTEM
