"@timestamp","data.win.system.eventID","agent.name","data.win.eventdata.authenticationPackageName","data.win.system.processID","data.win.system.systemTime","data.win.eventdata.logonType","data.win.eventdata.logonProcessName","data.win.eventdata.targetUserName"
"Apr 17, 2025 @ 19:36:42.929",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2040828Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.882",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2034322Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.835",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2029094Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.785",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:12.6205388Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.773",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.1467038Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.739",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:11.0116132Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.692",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:10.7830772Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.646",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:10.7675060Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.584",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:09.6107030Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.538",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:09.3394204Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.476",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:09.1616495Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.445",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:09.0786478Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.397",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:07.9474076Z",2,User32,"bsit22f.0005"
